tmdb_id,title,original_language,language_queried,release_date,popularity,vote_average,vote_count,director_gender,female_leads_top5,male_leads_top5,total_cast,female_in_full_cast,budget,revenue,runtime,genres,production_companies,bechdel_proxy_score,bechdel_proxy_pass,bechdel_proxy_partial,year,decade,genres_list,primary_genre,revenue_clean,budget_clean,has_boxoffice,roi,female_cast_ratio,female_lead_ratio,director_gender_label,language_label,revenue_m,revenue_inr_crore,budget_inr_crore
493623,Hichki,hi,hi,2018-03-23,2.5044,7.6,157,2,1,4,19,4,2000000,25629954,116,"['Drama', 'Comedy']",['Yash Raj Films'],0.0,False,False,2018,2015,"['Drama', 'Comedy']",Drama,25629954.0,2000000.0,True,11.814977,0.2105263157894736,0.2,Male,Hindi,,214.0101159,16.7
14134,Main Hoon Na,hi,hi,2004-04-30,3.0636,6.6,423,1,2,3,22,6,0,5920000,179,['Drama'],"['Red Chillies Entertainment', 'Venus Films']",3.0,True,True,2004,2000,['Drama'],Drama,5920000.0,,True,,0.2727272727272727,0.4,Female,Hindi,,49.432,
191714,The Lunchbox,hi,hi,2013-09-20,3.201,7.375,806,2,2,3,39,4,3400000,17240000,104,"['Drama', 'Romance']","['DAR Motion Pictures', 'A.S.A.P. Films', 'Sikhya Entertainment', 'National Film Development Corporation of India', 'Rohfilm', 'Cine Mosaic', 'ARTE France Cinéma', 'Dharma Productions', 'Nittin Keni Creations', 'UTV Motion Pictures']",2.0,False,True,2013,2010,"['Drama', 'Romance']",Drama,17240000.0,3400000.0,True,4.070588235294117,0.1025641025641025,0.4,Male,Hindi,,143.954,28.39
441909,Tiger Zinda Hai,hi,hi,2017-12-18,2.7616,6.251,175,2,1,4,27,5,19000000,86610000,160,"['Action', 'Adventure', 'Thriller']","['Yash Raj Films', 'Cine Tirol', 'NSA Picture']",0.0,False,False,2017,2015,"['Action', 'Adventure', 'Thriller']",Action,86610000.0,19000000.0,True,3.558421052631579,0.1851851851851851,0.2,Male,Hindi,,723.1935,158.65
503838,Raid,hi,hi,2018-03-16,2.9529,7.165,130,2,3,2,11,3,4700000,18000000,120,"['Crime', 'Drama', 'Thriller']","['Panorama Studios', 'T-Series']",2.0,False,True,2018,2015,"['Crime', 'Drama', 'Thriller']",Crime,18000000.0,4700000.0,True,2.8297872340425534,0.2727272727272727,0.6,Male,Hindi,,150.3,39.245
14194,Dhoom 2,hi,hi,2006-11-24,2.8725,6.627,284,0,2,3,13,3,11000000,46396427,151,"['Drama', 'Action', 'Thriller', 'Crime']","['Yash Raj Films', 'Dhoom Studios']",2.0,False,True,2006,2005,"['Drama', 'Action', 'Thriller', 'Crime']",Drama,46396427.0,11000000.0,True,3.217857,0.2307692307692307,0.4,Unknown,Hindi,,387.41016545,91.85
441889,Secret Superstar,hi,hi,2017-10-19,3.1077,7.258,194,2,2,2,12,4,286284,137416709,150,"['Drama', 'Music']","['Zee Studios', 'Aamir Khan Productions']",2.0,False,True,2017,2015,"['Drama', 'Music']",Drama,137416709.0,286284.0,True,479.0013587905716,0.3333333333333333,0.4,Male,Hindi,,966.0,2.3904714
14070,Ghajini,hi,hi,2008-12-25,2.9311,7.016,447,2,2,3,15,5,9100000,76000000,186,"['Action', 'Romance', 'Thriller']",['Geetha Arts'],2.0,False,True,2008,2005,"['Action', 'Romance', 'Thriller']",Action,76000000.0,9100000.0,True,7.351648351648351,0.3333333333333333,0.4,Male,Hindi,,634.6,75.985
554600,Uri: The Surgical Strike,hi,hi,2019-01-11,2.5337,7.039,477,2,2,3,47,6,0,0,138,"['Action', 'Drama', 'War']",['RSVP Movies'],2.0,False,True,2019,2015,"['Action', 'Drama', 'War']",Action,,,False,,0.1276595744680851,0.4,Male,Hindi,,,
530154,Lust Stories,hi,hi,2018-06-15,3.0592,6.215,142,2,3,2,18,9,0,0,120,"['Drama', 'Romance']","['RSVP Movies', 'Flying Unicorn Entertainment', 'Tiger Baby']",2.0,False,True,2018,2015,"['Drama', 'Romance']",Drama,,,False,,0.5,0.6,Male,Hindi,,,
